status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys
107861655950370_1228438533892671,Kaže da je pao sa stilom.,VIDEO Snimku je objavio na Facebooku: Ovaj tip spavao je s kćeri od šefice i tako dao otkaz,link,http://www.index.hr/black/clanak/video-snimku-je-objavio-na-facebooku-ovaj-tip-spavao-je-s-kceri-od-sefice-i-tako-dao-otkaz/924350.aspx,2016-10-07 21:00:01,8,0,0,8,0,0,0,0,0
107861655950370_1228437773892747,Mislio je da će biti konkurentniji na tržištu rada.,Nezaposleni muškarac ugradio silikone kako bi dobio posao pa postao predmet sprdnje,link,http://www.index.hr/black/clanak/nezaposleni-muskarac-ugradio-silikone-i-na-internetu-postao-predmet-sprdnje/924356.aspx,2016-10-07 20:00:00,2,1,1,0,0,2,0,0,0
107861655950370_1228435030559688,Picula najavio SDP 3.0.,Picula predstavio svoj manifest - želi stvoriti SDP 3.0,link,http://www.index.hr/vijesti/clanak/picula-predstavio-svoj-manifest--zeli-stvoriti-sdp-30/924353.aspx,2016-10-07 19:00:00,4,1,0,4,0,0,0,0,0
107861655950370_1228426343893890,"Dozvolio moliteljima ""miroljubivo bdijenje"".","Ravnatelj KBC-a Sestre milosrdnice: ""Dozvolio sam miroljubivo molitveno bdijenje pred bolnicom""",link,http://www.index.hr/vijesti/clanak/ravnatelj-kbca-sestre-milosrdnice-dozvolio-sam-miroljubivo-molitveno-bdijenje-pred-bolnicom/924371.aspx,2016-10-07 17:30:00,34,30,3,15,3,0,4,2,10
107861655950370_1228470363889488,Sljedećeg petka bit će napeto!,Eurojackpot dosegao rekordnih 675 milijuna kuna,link,http://www.index.hr/black/clanak/eurojackpot-dosegao-rekordnih-675-milijuna-kuna/924374.aspx,2016-10-07 16:37:16,71,21,3,70,0,1,0,0,0
107861655950370_1228436587226199,Papa nije bio zadovoljan.,Papu Franju jako rastužila vijest da su se dvije bivše redovnice udale jedna za drugu,link,http://www.index.hr/black/clanak/papu-franju-jako-je-rastuzila-vijest-o-civilnom-partnerstvu-dviju-bivsih-redovnica/924372.aspx,2016-10-07 15:51:02,20,17,1,13,0,0,7,0,0
107861655950370_1228413817228476,Od robijaša i prodavača hot dogova do milijardera.,"Jahte, avioni i neviđeni luksuz: Kako je prodavač hot dogova postao Putinov miljenik",link,http://www.index.hr/black/clanak/jahte-avioni-i-nevidjeni-luksuz-kako-je-prodavac-hot-dogova-postao-putinov-miljenik/924360.aspx,2016-10-07 15:32:00,17,1,0,17,0,0,0,0,0
107861655950370_1228417903894734,,Index Sport,link,http://www.index.hr/sport/clanak/pogledajte-promasaj-kvalifikacija-velika-zvijezda-se-zestoka-osramotila/924369.aspx,2016-10-07 15:27:29,12,3,0,11,0,0,1,0,0
107861655950370_1228409563895568,Američke tajne službe otvoreno optužile Rusiju za hakiranje!,"DOKUMENT Amerika službeno optužila Rusiju: ""Hakiraju nam građane i institucije""",link,http://www.index.hr/vijesti/clanak/dokument-amerika-sluzbeno-optuzila-rusiju-hakiraju-nam-gradjane-i-institucije/924368.aspx,2016-10-07 15:14:10,6,6,0,4,0,0,2,0,0
107861655950370_1228398953896629,Otpisali su ga već nakon 45 odigranih minuta.,Index Sport,link,http://www.index.hr/sport/clanak/je-li-on-igra-za-bih-ili-belgiju-bivsi-hrvatski-reprezentativac-u-debiju-za-bih-razocarao-navijace/924364.aspx,2016-10-07 14:54:56,22,15,0,21,1,0,0,0,0
107861655950370_1228289073907617,,Lajk.hr,link,http://www.index.hr/lajk/poster/175505/otkrivena-je-tajna-umjetnickih-fotografija-evo-kako-se-zapravo-slikaju,2016-10-07 14:50:00,32,2,0,31,1,0,0,0,0
107861655950370_1228367613899763,,Index Auto,link,http://www.index.hr/mobile/clanak.aspx?category=auto&id=924309,2016-10-07 14:06:16,15,1,0,14,1,0,0,0,0
107861655950370_1228357067234151,Bilo jednom u Jugoslaviji :D,FOTO Ovako je prvi jugoslavenski magazin za dame pisao o ženama i muškarcima 1956.,link,http://www.index.hr/black/clanak/foto-ovako-je-prvi-jugoslavenski-magazin-za-dame-pisao-o-zenama-i-muskarcima-1956/924317.aspx,2016-10-07 14:00:05,6,4,1,5,0,0,1,0,0
107861655950370_1228355430567648,"Ako ste slučajno propustili press konferenciju taksista, donosimo najzanimljivije izjave!",Taksisti: Možda su Uberovci sami sebi zapalili auto,link,http://www.index.hr/vijesti/clanak/taksisti-mozda-su-uberovci-sami-sebi-zapalili-auto/924244.aspx,2016-10-07 13:58:25,18,8,2,13,0,0,5,0,0
107861655950370_1228288580574333,,Lajk.hr,link,http://www.index.hr/lajk/poster/175508/video-cudak-snimio-svoj-skok-u-bazen-s-krova-hotela-umalo-zavrsio-na-betonu,2016-10-07 13:40:00,75,9,0,64,2,6,1,0,2
107861655950370_1228297527240105,On je uvjeren da svojim načinom života ne šteti nikome.,Susjedi na rubu živaca: Kuću renovira potpuno gol i ne namjerava se obući,link,http://www.index.hr/black/clanak/susjedi-na-rubu-zivaca-kucu-renovira-potpuno-gol-i-ne-namjerava-se-obuci/924204.aspx,2016-10-07 13:25:00,69,19,4,59,0,0,10,0,0
107861655950370_1228309277238930,Prometna u Zagrebu....,"Na Samoborskoj cesti motociklist sletio s ceste, udario u stup i poginuo",link,http://www.index.hr/vijesti/clanak/na-samoborskoj-cesti-u-zagrebu-poginuo-motociklist/924345.aspx,2016-10-07 13:14:00,24,4,1,14,0,0,0,10,0
107861655950370_1228299507239907,Spam naš svagdašnji.,VIDEO Ovo se dogodi kad odgovorite na spam,link,http://www.index.hr/black/clanak/video-ovo-se-dogodi-kad-odgovorite-na-spam/924338.aspx,2016-10-07 12:56:00,4,0,0,4,0,0,0,0,0
107861655950370_1228293297240528,Napadač napušta Juve?,Index Sport,link,http://www.index.hr/sport/clanak/mandzo-napusta-juventus-i-ostvaruje-nevjerojatni-transfer/924316.aspx,2016-10-07 12:33:03,44,2,0,44,0,0,0,0,0
107861655950370_1228288417241016,,Lajk.hr,link,http://www.index.hr/lajk/poster/175451/publika-nije-mogla-vjerovati-svojim-ocima-napunio-je-trbuh-vodom-i-pretvorio-se-u-fontanu,2016-10-07 12:24:31,84,7,0,78,1,3,2,0,0
107861655950370_1228282507241607,,Tko je 15. član Mostovog kluba o kojem svi šute? Petrov u Dnevniku naglo promijenio temu,link,http://www.index.hr/vijesti/clanak/petrov-veceras-u-dnevniku-nove-tv-otkriva-detalje-sporazuma-hdza-i-mosta/924341.aspx,2016-10-07 12:14:20,8,5,0,7,0,0,0,0,1
107861655950370_1228280437241814,"Jednostavni, a korisni savjeti.",15 pravila koja bi vam mogla spasiti život,link,http://www.index.hr/black/clanak/15-pravila-koja-bi-vam-mogla-spasiti-zivot/923756.aspx,2016-10-07 12:11:46,11,0,0,11,0,0,0,0,0
107861655950370_1228268390576352,"Olimpijska pobjednica, europska prvakinja, pokorila sve mitinge Dijamantne lige i završila sezonu bez poraza - samo Sandra Perković!",Index Sport,link,http://www.index.hr/sport/clanak/nevjerojatno-sandru-izbacili-iz-konkurenciju-za-najbolju-atleticarku-europe/924329.aspx,2016-10-07 11:50:32,141,35,0,89,0,2,0,17,33
107861655950370_1228249787244879,Bravo Filipe! 😄,"Hrvat napravio najbolji plakat za NASU: ""Život mi se potpuno promijenio""",link,http://www.index.hr/black/clanak/hrvatski-maturant-napravio-najbolji-plakat-na-natjecaju-nasae-promijenio-mi-je-zivot/924323.aspx,2016-10-07 11:13:17,403,5,19,384,17,1,1,0,0
107861655950370_1228241043912420,Bolesno.,"FOTO Pedofil 20 minuta ljubio sedmašicu pred školom u Vranju, uhićen nakon što su ga slikali",link,http://www.index.hr/vijesti/clanak/foto-pedofil-20-minuta-ljubio-sedmasicu-pred-skolom-u-vranju-uhicen-nakon-sto-su-ga-slikali/924328.aspx,2016-10-07 10:52:31,93,54,6,40,0,0,1,10,42
107861655950370_1228231230580068,Donosimo nove informacije iz Duge Rese...,Index Vijesti,link,http://www.index.hr/vijesti/clanak/pucnjava-kod-duge-rese-policija-blokirala-cijelo-selo/924290.aspx,2016-10-07 10:35:13,38,19,0,31,2,2,1,1,1
107861655950370_1228222673914257,Strašno!,Priča o obitelji Jacka Nicholsona zvuči kao scenarij najgore sapunice,link,http://www.index.hr/black/clanak/prica-o-obitelji-jacka-nicholsona-zvuci-kao-scenarij-najgore-sapunice/924308.aspx,2016-10-07 10:17:36,13,2,3,13,0,0,0,0,0
107861655950370_1228210883915436,"Nova vlada imat će 18 ministarstava - ostaje bez poduzetništva i socijale, bit će više žena, a o imenima i potpisima...","Plenković rekao kako će se smanjiti broj ministarstava, a otkrio još nekoliko zanimljivih stvari",link,http://www.index.hr/vijesti/clanak/plenkovic-rekao-kako-ce-se-smanjiti-broj-ministarstava-a-otkrio-jos-nekoliko-zanimljivih-stvari/924319.aspx,2016-10-07 09:55:07,8,19,2,7,0,0,0,0,1
107861655950370_1228172780585913,,Lajk.hr,link,http://www.index.hr/lajk/poster/175444/racun-o-kojem-cijeli-svijet-prica-majci-su-naplatili-drzanje-djeteta-nakon-poroda,2016-10-07 09:55:00,26,10,0,19,2,1,1,3,0
107861655950370_1228200067249851,"""Tko bi u ovoj cvjetnoj bajci bio najodgovorniji?"" 

Djelatnica Poglavarstva razotkriva Bandića!","""Car je gol"": Gradska službenica otkrila sve o dozvoli za terasu na Cvjetnom i prozvala Bandića",link,http://www.index.hr/vijesti/clanak/car-je-gol-gradska-sluzbenica-otkrila-sve-o-dozvoli-za-terasu-na-cvjetnom-i-prozvala-bandica/924305.aspx,2016-10-07 09:34:36,230,31,25,207,2,6,12,1,2
107861655950370_1228194140583777,"Andrej Plenković: ""Bit će 18 ministarstava...""",Index Vijesti,video,https://www.facebook.com/IndexVijesti/videos/1797674380447660/,2016-10-07 09:21:23,12,13,0,8,1,0,2,0,1
107861655950370_1228188297251028,"Pogledajte ""gol"" Islanđana!",Index Sport,link,http://www.index.hr/sport/clanak/evo-gola-islanda-o-kojem-bruji-cijeli-svijet-i-zbog-kojeg-finska-ceka-hrvatsku-ogorcena/924243.aspx,2016-10-07 09:12:39,12,6,0,12,0,0,0,0,0
107861655950370_1228171420586049,,Lajk.hr,link,http://www.index.hr/lajk/poster/175478/video-zena-iz-new-yorka-ima-preko-500-biljaka-u-svom-stanu-evo-kako-on-izgleda,2016-10-07 08:53:01,42,9,0,39,1,1,1,0,0
107861655950370_1228171070586084,Bez komentara. Pročitajte...,Opasno je dati pravo glasa običnom čovjeku,link,http://www.index.hr/vijesti/clanak/opasno-je-dati-pravo-glasa-obicnom-covjeku/924301.aspx,2016-10-07 08:41:42,17,8,0,17,0,0,0,0,0
107861655950370_1228141063922418,"[PRIJELOMNA VIJEST]

Krvavi obračun u Dugoj Resi!","Dvoje mrtvih u pucnjavi kod Karlovca, ubojica ubio dva brata pa pokušao presuditi i sebi",link,http://www.index.hr/vijesti/clanak/pucnjava-kod-duge-rese-policija-blokirala-cijelo-selo/924290.aspx,2016-10-07 07:51:52,30,8,9,22,1,4,0,3,0
107861655950370_1228139270589264,Uhvaćen s kilogramom eksploziva!,Šibenčanin izrađivao i nabavljao oružje i eksplozive te prijetio i uhodio nesretnu ženu,link,http://www.index.hr/vijesti/clanak/sibencanin-izradjivao-i-nabavljao-oruzje-i-eksplozive-te-prijetio-i-uhodio-nesretnu-zenu-/924277.aspx,2016-10-07 07:48:14,5,2,0,4,0,1,0,0,0
107861655950370_1228119117257946,Juan Manuel Santos - dobitnik Nobelove nagrade za mir!,"Tko je Juan Manuel Santos, dobitnik Nobelove nagrade za mir?",link,http://www.index.hr/vijesti/clanak/tko-je-juan-manuel-santos-dobitnik-nobelove-nagrade-za-mir/924273.aspx,2016-10-07 07:06:33,11,1,1,9,2,0,0,0,0
107861655950370_1228098183926706,"""UBIJ HRVATA da Šiptar nema brata"", slušao sam na Marakani prije tri godine...",Pucački i pljuvački trening uspjeli,link,http://www.index.hr/sport/clanak/pucacki-i-pljuvacki-trening-uspjeli/924170.aspx,2016-10-07 06:34:06,26,36,0,23,0,0,1,1,1
107861655950370_1228086920594499,"""Joj, fala ti Bogek..."" 😂","HDZ na Twitteru: ""Joj, fala ti Bogek...""",link,http://www.index.hr/vijesti/clanak/hdz-na-twitteru-joj-fala-ti-bogek/924248.aspx,2016-10-07 06:10:23,25,9,1,18,0,0,2,0,5
107861655950370_1228077987262059,"Lijepa Antica, nova djevojka Zorana Mamića",Tko je lijepa Antica zbog koje se navodno razvodi Zoran Mamić?,link,http://www.index.hr/black/clanak/tko-je-lijepa-antica-zbog-koje-se-navodno-razvodi-zoran-mamic/924214.aspx,2016-10-07 05:54:10,39,59,1,34,0,0,5,0,0
107861655950370_1228068087263049,Samo promjene...,"Dogovor o funkcijama je pao, Petrov: ""Čestitam HDZ-u jer su željni promjena""",link,http://www.index.hr/vijesti/clanak/dogovor-je-pao-petrov-cestitam-hdzu-jer-su-zeljni-promjena/924245.aspx,2016-10-07 05:34:57,46,41,1,24,1,0,15,0,6
107861655950370_1228051647264693,,Index Auto,link,http://www.index.hr/mobile/clanak.aspx?category=auto&id=924091,2016-10-07 05:08:23,14,1,0,13,1,0,0,0,0
107861655950370_1228049560598235,"[PRIJELOMNA VIJEST]

POTRES je pogodio Slavoniju. Jeste li ga osjetili?","Potres jačine 4,2 stupnja po Richteru pogodio Slavoniju: ""Mislili smo da je eksplozija, ljudi su bježali na ulice""",link,http://www.index.hr/vijesti/clanak/potres-jacine-44-stupnja-po-richteru-pogodio-bih-i-slavoniju/924240.aspx,2016-10-07 05:02:38,417,107,99,348,0,43,1,22,3
107861655950370_1228045647265293,WOW !! 😍,Djevojka o kojoj bruji cijeli Zagreb: Upoznajte prelijepu Nabilah,link,http://www.index.hr/rouge/clanak/djevojka-o-kojoj-bruji-cijeli-zagreb-upoznajte-prelijepu-nabilah/924225.aspx,2016-10-07 04:52:20,150,71,0,135,3,3,6,0,3
107861655950370_1227972283939296,,Index Oglasi,link,http://www.index.hr/oglasi/bmw-serija-3-318d-automatic-nije-uvoz/oid/376897,2016-10-07 04:30:00,8,7,0,8,0,0,0,0,0
107861655950370_1228031360600055,Vice Bataralo o pobačaju. Treba li još što reći?,"Kontroverzni Vice Batarelo ni silovanim ženama ne bi dopustio pobačaj, a rekao je još mnogo toga",link,http://www.index.hr/vijesti/clanak/kontroverzni-vice-batarelo-ni-silovanim-zenama-ne-bi-dopustio-pobacaj-a-rekao-je-jos-mnogo-toga/924226.aspx,2016-10-07 04:22:12,260,337,25,71,3,1,17,9,159
107861655950370_1228030647266793,"""Nitko nema ovakvog Marija..."" 😂😂😂","VIDEO Luka Bulić opjevao Mandžu pa nasmijao 2,5 tisuće Hrvata: ""Super Mario hat-trick ostvario""",link,http://www.index.hr/black/clanak/video-luka-bulic-opjevao-mandzu-pa-nasmijao-25-tisuce-hrvata-super-mario-hattrick-ostvario/924222.aspx,2016-10-07 04:19:51,213,13,5,204,7,0,2,0,0
107861655950370_1228014803935044,Znanost na HRT-u ima sasvim čudan oblik!,Kuhanje Vlatke Pokos za HRT je znanstveno - obrazovni program,link,http://www.index.hr/vijesti/clanak/kuhanje-vlatke-pokos-za-hrt-je-znanstveno--obrazovni-program-/924194.aspx,2016-10-07 03:55:59,120,63,8,45,1,0,64,1,9
107861655950370_1228001040603087,Donosimo detalje - tko što dobiva?,"Detalji dogovora: Evo što dobiva MOST, što HDZ i tko će nakon Petrova biti šef Sabora",link,http://www.index.hr/vijesti/clanak/detalji-dogovora-evo-sto-dobiva-most-sto-hdz-i-tko-ce-nakon-petrova-biti-sef-sabora/924198.aspx,2016-10-07 03:31:55,8,25,2,4,1,0,1,0,2
107861655950370_1227971323939392,Slavni glumac zaveo je kćer poznatih roditelja.,FOTO Može mu biti kći: Tko je mlađahna ljepotica koju ljubi Sean Penn?,link,http://www.index.hr/black/clanak/foto-moze-mu-biti-kci-tko-je-mladjahna-ljepotica-koju-ljubi-sean-penn/924175.aspx,2016-10-07 03:10:00,15,1,0,14,0,0,1,0,0
